request_id,payment_option_id,payment_type,number_of_payments,days_between_payments,first_payment_date,payment_amount,financing_fee,total_payable
request_80,opt_110,installments,4,15,2025-02-06,56550.0,8700.0,226200.0
request_81,opt_111,installments,3,30,2026-07-03,705.84,41.52,2117.52
request_81,opt_112,installments,4,15,2026-07-03,539.76,83.04,2159.04
request_82,opt_113,installments,3,30,2024-12-05,477.77,28.1,1433.31
request_82,opt_114,installments,4,15,2024-12-05,365.35,56.21,1461.4
request_83,opt_115,installments,3,30,2025-05-07,53108.0,3124.0,159324.0
request_83,opt_116,installments,4,15,2025-05-07,40612.0,6248.0,162448.0
request_84,opt_117,installments,3,30,2026-04-04,32436.0,1908.0,97308.0
request_84,opt_118,installments,4,15,2026-04-04,24804.0,3816.0,99216.0
request_85,opt_119,installments,3,30,2024-03-06,6563360.0,386080.0,19690080.0
request_85,opt_120,installments,4,15,2024-03-06,5019040.0,772160.0,20076160.0
request_86,opt_121,installments,3,30,2025-08-03,15742.0,926.0,47226.0
request_86,opt_122,installments,4,15,2025-08-03,12038.0,1852.0,48152.0
request_87,opt_123,installments,3,30,2026-01-05,165886.0,9758.0,497658.0
request_87,opt_124,installments,4,15,2026-01-05,126854.0,19516.0,507416.0
request_88,opt_125,installments,3,30,2024-06-07,8871.28,521.84,26613.84
request_88,opt_126,installments,4,15,2024-06-07,6783.92,1043.68,27135.68
request_89,opt_127,installments,3,30,2025-11-04,4677040.0,275120.0,14031120.0
request_89,opt_128,installments,4,15,2025-11-04,3576560.0,550240.0,14306240.0
request_90,opt_129,installments,3,30,2026-07-06,870.4,51.2,2611.2
request_90,opt_130,installments,4,15,2026-07-06,665.6,102.4,2662.4
request_91,opt_131,installments,3,30,2024-09-03,655.25,38.54,1965.75
request_91,opt_132,installments,4,15,2024-09-03,501.07,77.09,2004.28
request_92,opt_133,installments,3,30,2025-02-05,11571.56,680.68,34714.68
request_92,opt_134,installments,4,15,2025-02-05,8848.84,1361.36,35395.36
request_93,opt_135,installments,3,30,2026-04-07,587.93,34.58,1763.79
request_93,opt_136,installments,4,15,2026-04-07,449.59,69.17,1798.36
request_94,opt_137,installments,3,30,2024-12-04,194.48,11.44,583.44
request_94,opt_138,installments,4,15,2024-12-04,148.72,22.88,594.88
request_95,opt_139,installments,3,30,2025-05-06,188020.0,11060.0,564060.0
request_95,opt_140,installments,4,15,2025-05-06,143780.0,22120.0,575120.0
request_96,opt_141,installments,3,30,2026-01-03,30668.0,1804.0,92004.0
request_96,opt_142,installments,4,15,2026-01-03,23452.0,3608.0,93808.0
request_97,opt_143,installments,3,30,2024-03-05,7988.64,469.92,23965.92
request_97,opt_144,installments,4,15,2024-03-05,6108.96,939.84,24435.84
request_98,opt_145,installments,3,30,2025-08-07,9230.32,542.96,27690.96
request_98,opt_146,installments,4,15,2025-08-07,7058.48,1085.92,28233.92
request_99,opt_147,installments,3,30,2026-07-04,6141.08,361.24,18423.24
request_99,opt_148,installments,4,15,2026-07-04,4696.12,722.48,18784.48
request_100,opt_149,installments,3,30,2024-06-06,12618.76,742.28,37856.28
request_100,opt_150,installments,4,15,2024-06-06,9649.64,1484.56,38598.56
request_101,opt_151,installments,3,30,2025-11-03,48790.0,2870.0,146370.0
request_101,opt_152,installments,4,15,2025-11-03,37310.0,5740.0,149240.0
request_102,opt_153,installments,3,30,2026-04-05,583.44,34.32,1750.32
request_102,opt_154,installments,4,15,2026-04-05,446.16,68.64,1784.64
request_103,opt_155,installments,3,30,2024-09-07,125222.0,7366.0,375666.0
request_103,opt_156,installments,4,15,2024-09-07,95758.0,14732.0,383032.0
request_104,opt_157,installments,3,30,2025-02-04,5849.36,344.08,17548.08
request_104,opt_158,installments,4,15,2025-02-04,4473.04,688.16,17892.16
request_105,opt_159,installments,3,30,2026-06-08,18190.0,1070.0,54570.0
request_105,opt_160,installments,4,15,2026-06-08,13910.0,2140.0,55640.0
request_106,opt_161,installments,3,30,2024-12-03,750.62,44.15,2251.86
request_106,opt_162,installments,4,15,2024-12-03,574.0,88.31,2296.0
request_107,opt_163,installments,3,30,2025-05-05,861.7,50.69,2585.1
request_107,opt_164,installments,4,15,2025-05-05,658.94,101.38,2635.76
request_108,opt_165,installments,3,30,2026-07-07,18804.72,1106.16,56414.16
request_108,opt_166,installments,4,15,2026-07-07,14380.08,2212.32,57520.32
request_109,opt_167,installments,3,30,2024-03-04,633.56,37.27,1900.68
request_109,opt_168,installments,4,15,2024-03-04,484.48,74.54,1937.92
request_110,opt_169,installments,3,30,2025-08-06,7599.68,447.04,22799.04
request_110,opt_170,installments,4,15,2025-08-06,5811.52,894.08,23246.08
request_111,opt_171,installments,3,30,2026-04-03,5652500.0,332500.0,16957500.0
request_111,opt_172,installments,4,15,2026-04-03,4322500.0,665000.0,17290000.0
request_112,opt_173,installments,3,30,2024-06-05,92.38,5.43,277.14
request_112,opt_174,installments,4,15,2024-06-05,70.64,10.87,282.56
request_113,opt_175,installments,3,30,2026-09-04,12410.0,730.0,37230.0
request_113,opt_176,installments,4,15,2026-09-04,9490.0,1460.0,37960.0
request_114,opt_177,installments,3,30,2026-01-04,22202.0,1306.0,66606.0
request_114,opt_178,installments,4,15,2026-01-04,16978.0,2612.0,67912.0
request_115,opt_179,installments,3,30,2024-09-06,27370.0,1610.0,82110.0
request_115,opt_180,installments,4,15,2024-09-06,20930.0,3220.0,83720.0
request_116,opt_181,installments,3,30,2025-02-03,82008.0,4824.0,246024.0
request_116,opt_182,installments,4,15,2025-02-03,62712.0,9648.0,250848.0
request_117,opt_183,installments,3,30,2026-07-05,299.2,17.6,897.6
request_117,opt_184,installments,4,15,2026-07-05,228.8,35.2,915.2
request_118,opt_185,installments,3,30,2024-12-07,250.95,14.76,752.85
request_118,opt_186,installments,4,15,2024-12-07,191.91,29.52,767.64
request_119,opt_187,installments,3,30,2025-05-04,69190.0,4070.0,207570.0
request_119,opt_188,installments,4,15,2025-05-04,52910.0,8140.0,211640.0
request_120,opt_189,installments,3,30,2026-04-06,2622760.0,154280.0,7868280.0
request_120,opt_190,installments,4,15,2026-04-06,2005640.0,308560.0,8022560.0
request_121,opt_191,installments,3,30,2024-03-03,215.42,12.67,646.26
request_121,opt_192,installments,4,15,2024-03-03,164.74,25.34,658.96
request_122,opt_193,installments,3,30,2025-08-05,6989720.0,411160.0,20969160.0
request_122,opt_194,installments,4,15,2025-08-05,5345080.0,822320.0,21380320.0
request_123,opt_195,installments,3,30,2026-01-07,1385840.0,81520.0,4157520.0
request_123,opt_196,installments,4,15,2026-01-07,1059760.0,163040.0,4239040.0
request_124,opt_197,installments,3,30,2024-06-04,1055.43,62.08,3166.29
request_124,opt_198,installments,4,15,2024-06-04,807.09,124.17,3228.36
request_125,opt_199,installments,3,30,2025-11-06,2199.12,129.36,6597.36
request_125,opt_200,installments,4,15,2025-11-06,1681.68,258.72,6726.72
request_126,opt_201,installments,3,30,2026-07-03,54264.0,3192.0,162792.0
request_126,opt_202,installments,4,15,2026-07-03,41496.0,6384.0,165984.0
request_127,opt_203,installments,3,30,2024-09-05,8153.2,479.6,24459.6
request_127,opt_204,installments,4,15,2024-09-05,6234.8,959.2,24939.2
request_128,opt_205,installments,3,30,2025-02-07,8557.12,503.36,25671.36
request_128,opt_206,installments,4,15,2025-02-07,6543.68,1006.72,26174.72
request_129,opt_207,installments,3,30,2026-04-04,907.39,53.38,2722.17
request_129,opt_208,installments,4,15,2026-04-04,693.89,106.75,2775.56
request_130,opt_209,installments,3,30,2024-12-06,672.79,39.58,2018.37
request_130,opt_210,installments,4,15,2024-12-06,514.49,79.15,2057.96
request_131,opt_211,installments,3,30,2025-05-03,630.77,37.1,1892.31
request_131,opt_212,installments,4,15,2025-05-03,482.35,74.21,1929.4
request_132,opt_213,installments,3,30,2026-01-05,129.15,7.6,387.45
request_132,opt_214,installments,4,15,2026-01-05,98.76,15.19,395.04
request_133,opt_215,installments,3,30,2024-03-07,5361800.0,315400.0,16085400.0
request_133,opt_216,installments,4,15,2024-03-07,4100200.0,630800.0,16400800.0
request_134,opt_217,installments,3,30,2025-08-04,7422540.0,436620.0,22267620.0
request_134,opt_218,installments,4,15,2025-08-04,5676060.0,873240.0,22704240.0
request_135,opt_219,installments,3,30,2026-07-06,103.63,6.1,310.89
request_135,opt_220,installments,4,15,2026-07-06,79.25,12.19,317.0
request_136,opt_221,installments,3,30,2024-06-03,190.54,11.21,571.62
request_136,opt_222,installments,4,15,2024-06-03,145.7,22.42,582.8
request_137,opt_223,installments,3,30,2025-11-05,27234.0,1602.0,81702.0
request_137,opt_224,installments,4,15,2025-11-05,20826.0,3204.0,83304.0
request_138,opt_225,installments,3,30,2026-04-07,427.36,25.14,1282.08
request_138,opt_226,installments,4,15,2026-04-07,326.8,50.28,1307.2
request_139,opt_227,installments,3,30,2024-09-04,787.44,46.32,2362.32
request_139,opt_228,installments,4,15,2024-09-04,602.16,92.64,2408.64
request_140,opt_229,installments,3,30,2025-02-06,21362.88,1256.64,64088.64
request_140,opt_230,installments,4,15,2025-02-06,16336.32,2513.28,65345.28
request_141,opt_231,installments,3,30,2026-01-03,58344.0,3432.0,175032.0
request_141,opt_232,installments,4,15,2026-01-03,44616.0,6864.0,178464.0
request_142,opt_233,installments,3,30,2024-12-05,429.62,25.27,1288.86
request_142,opt_234,installments,4,15,2024-12-05,328.54,50.54,1314.16
request_143,opt_235,installments,3,30,2025-05-07,4278.56,251.68,12835.68
request_143,opt_236,installments,4,15,2025-05-07,3271.84,503.36,13087.36
request_144,opt_237,installments,3,30,2026-07-04,79.34,4.67,238.02
request_144,opt_238,installments,4,15,2026-07-04,60.67,9.33,242.68
request_145,opt_239,installments,3,30,2024-03-06,73916.0,4348.0,221748.0
request_145,opt_240,installments,4,15,2024-03-06,56524.0,8696.0,226096.0
request_146,opt_241,installments,3,30,2025-08-03,152796.0,8988.0,458388.0
request_146,opt_242,installments,4,15,2025-08-03,116844.0,17976.0,467376.0
request_147,opt_243,installments,3,30,2026-04-05,384.1,22.59,1152.3
request_147,opt_244,installments,4,15,2026-04-05,293.72,45.19,1174.88
request_148,opt_245,installments,3,30,2024-06-07,7562.28,444.84,22686.84
request_148,opt_246,installments,4,15,2024-06-07,5782.92,889.68,23131.68
request_149,opt_247,installments,3,30,2025-11-04,12461.68,733.04,37385.04
request_149,opt_248,installments,4,15,2025-11-04,9529.52,1466.08,38118.08
request_150,opt_249,installments,3,30,2026-01-06,168.67,9.92,506.01
request_150,opt_250,installments,4,15,2026-01-06,128.99,19.84,515.96
request_151,opt_251,installments,3,30,2024-09-03,9179660.0,539980.0,27538980.0
request_151,opt_252,installments,4,15,2024-09-03,7019740.0,1079960.0,28078960.0
request_152,opt_253,installments,3,30,2025-02-05,4719.88,277.64,14159.64
request_152,opt_254,installments,4,15,2025-02-05,3609.32,555.28,14437.28
request_153,opt_255,installments,3,30,2026-07-07,962.47,56.62,2887.41
request_153,opt_256,installments,4,15,2026-07-07,736.01,113.23,2944.04
request_154,opt_257,installments,3,30,2024-12-04,552.77,32.52,1658.31
request_154,opt_258,installments,4,15,2024-12-04,422.71,65.03,1690.84
request_155,opt_259,installments,3,30,2025-05-06,38250.0,2250.0,114750.0
request_155,opt_260,installments,4,15,2025-05-06,29250.0,4500.0,117000.0
request_156,opt_261,installments,3,30,2026-04-03,14645.84,861.52,43937.52
request_156,opt_262,installments,4,15,2026-04-03,11199.76,1723.04,44799.04
request_157,opt_263,installments,3,30,2024-03-05,7991020.0,470060.0,23973060.0
request_157,opt_264,installments,4,15,2024-03-05,6110780.0,940120.0,24443120.0
request_158,opt_265,installments,3,30,2025-08-07,82484.0,4852.0,247452.0
request_158,opt_266,installments,4,15,2025-08-07,63076.0,9704.0,252304.0
request_159,opt_267,installments,3,30,2026-01-04,4555.32,267.96,13665.96
request_159,opt_268,installments,4,15,2026-01-04,3483.48,535.92,13933.92
request_160,opt_269,installments,3,30,2024-06-06,423.74,24.93,1271.22
request_160,opt_270,installments,4,15,2024-06-06,324.04,49.85,1296.16
request_161,opt_271,installments,3,30,2025-11-03,7209360.0,424080.0,21628080.0
request_161,opt_272,installments,4,15,2025-11-03,5513040.0,848160.0,22052160.0
request_162,opt_273,installments,3,30,2026-07-05,28533820.0,1678460.0,85601460.0
request_162,opt_274,installments,4,15,2026-07-05,21819980.0,3356920.0,87279920.0
request_163,opt_275,installments,3,30,2024-09-07,6563360.0,386080.0,19690080.0
request_163,opt_276,installments,4,15,2024-09-07,5019040.0,772160.0,20076160.0
request_164,opt_277,installments,3,30,2025-02-04,9186120.0,540360.0,27558360.0
request_164,opt_278,installments,4,15,2025-02-04,7024680.0,1080720.0,28098720.0
request_165,opt_279,installments,3,30,2026-04-06,27404.0,1612.0,82212.0
request_165,opt_280,installments,4,15,2026-04-06,20956.0,3224.0,83824.0
request_166,opt_281,installments,3,30,2024-12-03,988.58,58.15,2965.74
request_166,opt_282,installments,4,15,2024-12-03,755.98,116.3,3023.92
request_167,opt_283,installments,3,30,2025-05-05,14892.68,876.04,44678.04
request_167,opt_284,installments,4,15,2025-05-05,11388.52,1752.08,45554.08
request_168,opt_285,installments,3,30,2026-01-07,16789.2,987.6,50367.6
request_168,opt_286,installments,4,15,2026-01-07,12838.8,1975.2,51355.2
request_169,opt_287,installments,3,30,2024-03-04,14271.84,839.52,42815.52
request_169,opt_288,installments,4,15,2024-03-04,10913.76,1679.04,43655.04
request_170,opt_289,installments,3,30,2025-08-06,12558240.0,738720.0,37674720.0
request_170,opt_290,installments,4,15,2025-08-06,9603360.0,1477440.0,38413440.0
request_171,opt_291,installments,3,30,2026-07-03,638.79,37.58,1916.37
request_171,opt_292,installments,4,15,2026-07-03,488.49,75.15,1953.96
request_172,opt_293,installments,3,30,2024-06-05,3468.0,204.0,10404.0
request_172,opt_294,installments,4,15,2024-06-05,2652.0,408.0,10608.0
request_173,opt_295,installments,3,30,2025-11-07,38420.0,2260.0,115260.0
request_173,opt_296,installments,4,15,2025-11-07,29380.0,4520.0,117520.0
request_174,opt_297,installments,3,30,2026-04-04,389.71,22.92,1169.13
request_174,opt_298,installments,4,15,2026-04-04,298.01,45.85,1192.04
request_175,opt_299,installments,3,30,2024-09-06,797.74,46.93,2393.22
request_175,opt_300,installments,4,15,2024-09-06,610.04,93.85,2440.16
request_176,opt_301,installments,3,30,2025-02-03,421.5,24.79,1264.5
request_176,opt_302,installments,4,15,2025-02-03,322.32,49.59,1289.28
request_177,opt_303,installments,3,30,2026-01-05,345.98,20.35,1037.94
request_177,opt_304,installments,4,15,2026-01-05,264.58,40.7,1058.32
request_178,opt_305,installments,3,30,2024-12-07,998.95,58.76,2996.85
request_178,opt_306,installments,4,15,2024-12-07,763.91,117.52,3055.64
request_179,opt_307,installments,3,30,2025-05-04,14160320.0,832960.0,42480960.0
request_179,opt_308,installments,4,15,2025-05-04,10828480.0,1665920.0,43313920.0
request_180,opt_309,installments,3,30,2026-07-06,22610.0,1330.0,67830.0
request_180,opt_310,installments,4,15,2026-07-06,17290.0,2660.0,69160.0
request_181,opt_311,installments,3,30,2024-03-03,1720.13,101.18,5160.39
request_181,opt_312,installments,4,15,2024-03-03,1315.39,202.37,5261.56
request_182,opt_313,installments,3,30,2025-08-05,22342.76,1314.28,67028.28
request_182,opt_314,installments,4,15,2025-08-05,17085.64,2628.56,68342.56
request_183,opt_315,installments,3,30,2026-04-07,9134440.0,537320.0,27403320.0
request_183,opt_316,installments,4,15,2026-04-07,6985160.0,1074640.0,27940640.0
request_184,opt_317,installments,3,30,2024-06-04,85646.0,5038.0,256938.0
request_184,opt_318,installments,4,15,2024-06-04,65494.0,10076.0,261976.0
request_185,opt_319,installments,3,30,2025-11-06,427.48,25.15,1282.44
request_185,opt_320,installments,4,15,2025-11-06,326.9,50.29,1307.6
request_186,opt_321,installments,3,30,2026-01-03,9028.36,531.08,27085.08
request_186,opt_322,installments,4,15,2026-01-03,6904.04,1062.16,27616.16
request_187,opt_323,installments,3,30,2024-09-05,63750.0,3750.0,191250.0
request_187,opt_324,installments,4,15,2024-09-05,48750.0,7500.0,195000.0
request_188,opt_325,installments,3,30,2025-02-07,837.76,49.28,2513.28
request_188,opt_326,installments,4,15,2025-02-07,640.64,98.56,2562.56
request_189,opt_327,installments,3,30,2026-07-04,166.06,9.77,498.18
request_189,opt_328,installments,4,15,2026-07-04,126.98,19.54,507.92
request_190,opt_329,installments,3,30,2024-12-06,869.55,51.15,2608.65
request_190,opt_330,installments,4,15,2024-12-06,664.95,102.3,2659.8
request_191,opt_331,installments,3,30,2025-05-03,225.9,13.29,677.7
request_191,opt_332,installments,4,15,2025-05-03,172.74,26.58,690.96
request_192,opt_333,installments,3,30,2026-04-05,695.64,40.92,2086.92
request_192,opt_334,installments,4,15,2026-04-05,531.96,81.84,2127.84
request_193,opt_335,installments,3,30,2024-03-07,412.15,24.24,1236.45
request_193,opt_336,installments,4,15,2024-03-07,315.17,48.49,1260.68
request_194,opt_337,installments,3,30,2025-08-04,45152.0,2656.0,135456.0
request_194,opt_338,installments,4,15,2025-08-04,34528.0,5312.0,138112.0
request_195,opt_339,installments,3,30,2026-01-06,397.94,23.41,1193.82
request_195,opt_340,installments,4,15,2026-01-06,304.3,46.82,1217.2
request_196,opt_341,installments,3,30,2024-06-03,259.18,15.25,777.54
request_196,opt_342,installments,4,15,2024-06-03,198.2,30.49,792.8
request_197,opt_343,installments,3,30,2025-11-05,17319260.0,1018780.0,51957780.0
request_197,opt_344,installments,4,15,2025-11-05,13244140.0,2037560.0,52976560.0
request_198,opt_345,installments,3,30,2026-07-07,63172.0,3716.0,189516.0
request_198,opt_346,installments,4,15,2026-07-07,48308.0,7432.0,193232.0
request_199,opt_347,installments,3,30,2024-09-04,8049160.0,473480.0,24147480.0
request_199,opt_348,installments,4,15,2024-09-04,6155240.0,946960.0,24620960.0
request_200,opt_349,installments,3,30,2025-02-06,7383780.0,434340.0,22151340.0
request_200,opt_350,installments,4,15,2025-02-06,5646420.0,868680.0,22585680.0
request_201,opt_351,installments,3,30,2026-04-03,8158980.0,479940.0,24476940.0
request_201,opt_352,installments,4,15,2026-04-03,6239220.0,959880.0,24956880.0
request_202,opt_353,installments,3,30,2024-12-05,42126.0,2478.0,126378.0
request_202,opt_354,installments,4,15,2024-12-05,32214.0,4956.0,128856.0
request_203,opt_355,installments,3,30,2025-05-07,490.31,28.84,1470.93
request_203,opt_356,installments,4,15,2025-05-07,374.95,57.68,1499.8
request_204,opt_357,installments,3,30,2026-01-04,200.17,11.77,600.51
request_204,opt_358,installments,4,15,2026-01-04,153.07,23.55,612.28
request_205,opt_359,installments,3,30,2024-03-06,3611140.0,212420.0,10833420.0
request_205,opt_360,installments,4,15,2024-03-06,2761460.0,424840.0,11045840.0
request_206,opt_361,installments,3,30,2025-08-03,477.6,28.09,1432.8
request_206,opt_362,installments,4,15,2025-08-03,365.22,56.19,1460.88
request_207,opt_363,installments,3,30,2026-07-05,4022.2,236.6,12066.6
request_207,opt_364,installments,4,15,2026-07-05,3075.8,473.2,12303.2
request_208,opt_365,installments,3,30,2024-06-07,1500420.0,88260.0,4501260.0
request_208,opt_366,installments,4,15,2024-06-07,1147380.0,176520.0,4589520.0
request_209,opt_367,installments,3,30,2025-11-04,19350.76,1138.28,58052.28
request_209,opt_368,installments,4,15,2025-11-04,14797.64,2276.56,59190.56
request_210,opt_369,installments,3,30,2026-04-06,462.41,27.2,1387.23
request_210,opt_370,installments,4,15,2026-04-06,353.61,54.4,1414.44
