user_id,home_currency,available_balance,minimum_balance_to_keep,financial_priorities,spending_preferences,payment_methods_user_will_consider
user_197,IDR,101740728.11,19743809.6,balanced,willing_to_adjust_flexible,full_payment|installments
user_198,INR,182362.35,72831.17,debt_reduction,flexible_entertainment,full_payment|installments
user_199,IDR,16299874.1,8596256.41,debt_reduction,flexible_entertainment,full_payment|installments|wait
user_200,IDR,38976502.7,5360618.14,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_201,IDR,24388491.42,6221205.28,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_202,INR,178640.76,52905.87,debt_reduction,strict_budget,installments|wait
user_203,EUR,1179.94,456.22,balanced,willing_to_adjust_flexible,full_payment|installments
user_204,EUR,457.83,251.73,growth,flexible_entertainment,full_payment|installments|wait
user_205,IDR,25335840.67,2812577.22,growth,strict_budget,full_payment|partial_payment|installments
user_206,EUR,1152.18,332.74,emergency_savings,strict_budget,full_payment|partial_payment|installments
user_207,ZAR,23102.23,4370.38,emergency_savings,strict_budget,full_payment|installments
user_208,IDR,4398431.03,2087818.31,emergency_savings,flexible_entertainment,full_payment|installments
user_209,ZAR,26162.17,23480.89,balanced,flexible_entertainment,full_payment|installments|wait
user_210,USD,3392.61,236.22,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_211,EUR,1606.28,578.94,growth,strict_budget,full_payment|partial_payment|installments
user_212,IDR,138602683.12,23330950.06,growth,strict_budget,installments|wait
user_213,USD,3454.7,1069.48,emergency_savings,flexible_entertainment,full_payment|installments
user_214,INR,45351.87,24616.81,emergency_savings,flexible_entertainment,full_payment|installments|wait
user_215,ZAR,54450.94,7808.31,debt_reduction,flexible_entertainment,full_payment|partial_payment|installments
user_216,USD,2680.11,1125.93,growth,strict_budget,full_payment|installments
user_217,ZAR,45586.84,11972.93,balanced,willing_to_adjust_flexible,full_payment|installments
user_218,IDR,69936829.91,19648221.87,debt_reduction,strict_budget,full_payment|installments
user_219,EUR,1196.49,711.09,debt_reduction,strict_budget,full_payment|installments|wait
user_220,EUR,5311.74,607.99,debt_reduction,strict_budget,full_payment|partial_payment|installments
user_221,INR,111262.05,23528.16,debt_reduction,strict_budget,full_payment|installments
user_222,ZAR,57115.93,15541.62,balanced,strict_budget,installments|wait
user_223,EUR,763.66,455.28,growth,strict_budget,full_payment|installments
user_224,IDR,6198150.47,4117984.65,emergency_savings,willing_to_adjust_flexible,full_payment|installments|wait
user_225,IDR,36085760.13,5214874.06,balanced,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_226,INR,113853.88,34267.66,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_227,INR,482298.48,102337.84,debt_reduction,strict_budget,full_payment|installments
user_228,IDR,63807369.26,27399618.45,balanced,flexible_entertainment,full_payment|installments
user_229,EUR,1219.57,591.14,growth,flexible_entertainment,full_payment|installments|wait
user_230,EUR,7156.6,819.55,balanced,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_231,ZAR,23291.02,8289.68,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_232,EUR,3145.02,818.86,growth,willing_to_adjust_flexible,installments|wait
user_233,IDR,5084410.72,2037174.35,balanced,strict_budget,full_payment|installments
user_234,EUR,541.58,551.46,emergency_savings,willing_to_adjust_flexible,full_payment|installments|wait
user_235,USD,2304.29,234.44,emergency_savings,flexible_entertainment,full_payment|partial_payment|installments
user_236,IDR,45008505.35,16999686.03,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_237,IDR,37016854.25,6263925.54,balanced,willing_to_adjust_flexible,full_payment|installments
user_238,USD,565.66,256.42,growth,flexible_entertainment,full_payment|installments
user_239,USD,264.21,273.49,debt_reduction,willing_to_adjust_flexible,full_payment|installments|wait
user_240,INR,176345.08,26328.98,growth,flexible_entertainment,full_payment|partial_payment|installments
user_241,IDR,14996399.14,7753054.48,emergency_savings,strict_budget,full_payment|installments
user_242,EUR,3850.3,810.18,debt_reduction,strict_budget,installments|wait
user_243,ZAR,20491.03,6769.87,balanced,strict_budget,full_payment|installments
user_244,ZAR,36634.3,24761.77,debt_reduction,strict_budget,full_payment|installments|wait
user_245,INR,269353.81,29133.16,debt_reduction,flexible_entertainment,full_payment|partial_payment|installments
user_246,ZAR,47303.4,22942.87,growth,strict_budget,full_payment|installments
user_247,EUR,2062.88,399.29,emergency_savings,strict_budget,full_payment|installments
user_248,USD,2143.33,1083.52,growth,flexible_entertainment,full_payment|installments
user_249,USD,372.17,255.27,balanced,willing_to_adjust_flexible,full_payment|installments|wait
user_250,ZAR,284172.26,28017.48,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_251,EUR,1650.41,375.01,growth,flexible_entertainment,full_payment|installments
user_252,IDR,52929245.11,9904346.56,balanced,willing_to_adjust_flexible,installments|wait
user_253,EUR,2809.5,1630.36,growth,strict_budget,full_payment|installments
user_254,USD,2811.78,1620.81,debt_reduction,strict_budget,full_payment|installments|wait
user_255,IDR,8256603.97,586208.75,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_256,INR,226812.72,62998.99,growth,flexible_entertainment,full_payment|installments
user_257,USD,2404.51,476.71,debt_reduction,flexible_entertainment,full_payment|installments
user_258,USD,1100.01,657.87,balanced,willing_to_adjust_flexible,full_payment|installments
user_259,EUR,633.07,402.02,balanced,willing_to_adjust_flexible,full_payment|installments|wait
user_260,IDR,123604713.45,11769951.88,balanced,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_261,EUR,1756.01,644.08,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_262,IDR,11588747.22,3766350.79,balanced,flexible_entertainment,installments|wait
user_263,ZAR,56633.93,22174.65,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_264,INR,75857.22,35627.29,debt_reduction,willing_to_adjust_flexible,full_payment|installments|wait
user_265,INR,85941.81,7161.64,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_266,EUR,698.15,257.1,debt_reduction,flexible_entertainment,full_payment|installments
user_267,EUR,3128.0,753.6,debt_reduction,flexible_entertainment,full_payment|installments
user_268,EUR,2111.21,1171.68,growth,willing_to_adjust_flexible,full_payment|installments
user_269,ZAR,10428.7,6188.77,debt_reduction,flexible_entertainment,full_payment|installments|wait
user_270,USD,6103.14,608.17,balanced,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_271,INR,55208.99,32952.6,balanced,willing_to_adjust_flexible,full_payment|installments
user_272,IDR,22242428.56,3647103.48,balanced,willing_to_adjust_flexible,installments|wait
user_273,IDR,14586754.22,9335922.94,balanced,strict_budget,full_payment|installments
user_274,EUR,2003.04,922.23,growth,strict_budget,full_payment|installments|wait
user_275,IDR,26939072.45,3594118.1,balanced,willing_to_adjust_flexible,full_payment|partial_payment|installments
